Year,Admissions yield – total,Admissions yield – men,Admissions yield – women,Admissions total,Admissions men,Admissions women ,Enrolled total,Enrolled men,Enrolled women
2002,65.3061224489796,59.0909090909091,70.3703703703704,49,22,27,32,13,19
2003,85.2272727272727,97.7777777777778,72.093023255814,88,45,43,75,44,31
2004,64.5454545454546,67.8571428571429,61.1111111111111,110,56,54,71,38,33
2005,60.6299212598425,68.5714285714286,50.8771929824561,127,70,57,77,48,29
2006,64.963503649635,69.6969696969697,57.7464788732394,137,66,71,89,46,41
2007,69.1588785046729,73.6842105263158,64,107,57,50,74,42,32
2008,61.8320610687023,73.8461538461538,50,131,65,66,81,48,33
2009,58.5034013605442,63.4920634920635,54.7619047619048,147,63,84,86,40,46
2010,53.5294117647059,58.6206896551724,48.1927710843374,170,87,83,91,51,40
2011,65.0793650793651,72,60.5263157894737,126,50,76,82,36,46
2012,54,58.974358974359,48.6111111111111,150,78,72,81,46,35
2013,60.7407407407407,64.2857142857143,58.2278481012658,135,56,79,82,36,46
2014,66.9491525423729,74.1379310344828,60,118,58,60,79,43,36
2015,64.406779661017,67.8571428571429,61.2903225806452,118,56,62,76,38,38
2016,59.8484848484849,66.6666666666667,53.6231884057971,132,63,69,79,42,37
2017,63.3802816901409,71.875,56.4102564102564,142,64,78,90,46,44
2018,60.8695652173913,67.2131147540984,55.8441558441558,138,61,77,84,41,43
2019,59.8591549295775,56.9230769230769,62.3376623376623,142,65,77,85,37,48
2020,56.7567567567568,68.0555555555556,46.0526315789474,148,72,76,84,49,35
2021,55.8282208588957,51.8518518518519,59.7560975609756,163,81,82,91,42,49
